ID;prefix;category;number;oldID;status;manufacture;model;serialnro;location;use;created;equipment Id;equipmentDesc;categoryDesc
1;VE;2;1;10.01.200907;-;Fluke;187;77950080;-;-;1.1.2000;VE-02-0001;Digital Multi Meter;02. Measuring equipment, Electronics
2;VE;2;2;10.02.200907;-;Fluke;187;79340115;-;-;1.1.2000;VE-02-0002;Digital Multi Meter;02. Measuring equipment, Electronics
3;VE;2;3;10.03.200907;-;Fluke;77III;76850534;-;-;1.1.2000;VE-02-0003;Digital Multi Meter;02. Measuring equipment, Electronics
4;VE;2;4;10.04.-;-;Circuitmate;LM22A;71130453;-;-;1.1.2000;VE-02-0004;Digital Multi Meter;02. Measuring equipment, Electronics
5;VE;2;5;10.05.200908;-;Fluke;189;93950122;-;-;1.1.2000;VE-02-0005;Digital Multi Meter;02. Measuring equipment, Electronics
6;VE;2;6;10.06.200908;-;Fluke;179;94370271;-;-;1.1.2000;VE-02-0006;Digital Multi Meter;02. Measuring equipment, Electronics
7;VE;2;7;10.07.200908;-;Fluke;179;95920329;-;-;1.1.2000;VE-02-0007;Digital Multi Meter;02. Measuring equipment, Electronics
8;VE;2;8;20.01.200907;-;;124 - NO DM8840203;9,44401E+11;-;-;1.1.2000;VE-02-0008;Oscilloscope, portable;02. Measuring equipment, Electronics
9;VE;2;9;20.02.-;-;LeCroy;LP142;1659;-;-;1.1.2000;VE-02-0009;Oscilloscope;02. Measuring equipment, Electronics
10;VE;2;10;20.03.-;-;Tektronix;TDS210;B091765;-;-;1.1.2000;VE-02-0010;Oscilloscope;02. Measuring equipment, Electronics
11;VE;1;11;30.01.-;-;Mettler Toledo;PB303-SDR;1121020322;-;-;1.1.2000;VE-01-0011;Scale;01. Measuring equipment, Mechanics
12;VE;1;12;30.02.-;-;Accurat ;2000;59580390406;-;-;1.1.2000;VE-01-0012;Scale;01. Measuring equipment, Mechanics
13;VE;1;13;40.01.-;-;Mitutoyo;"Code No. 500-162U
Model No. CD-20DC";53089;-;-;1.1.2000;VE-01-0013;Caliber;01. Measuring equipment, Mechanics
14;VE;1;14;40.02.-;-;Samson;- ;- ;-;-;1.1.2000;VE-01-0014;Caliber;01. Measuring equipment, Mechanics
15;VE;2;15;50.01.-;-;Protek;2GHz RF field analyzer 3200;320001927;-;-;1.1.2000;VE-02-0015;RF Analyzer;02. Measuring equipment, Electronics
16;VE;4;16;60.01.-;-;Tecstar;TAC30-3;3080139;-;-;1.1.2000;VE-04-0016;Power Supply;04. Test equipment, Electronics
17;VE;4;17;60.02.-;-;Tecstar;TAC30-3;3080166;-;-;1.1.2000;VE-04-0017;Power Supply;04. Test equipment, Electronics
