OldID;Prefix;Category;Number;EquipmentID;Status;EquipmentDesc;Manufacture;Model;Serialnro;CategoryDesc;Use;Location;idsupplier;calibrationapplied;calibrationduedate;lastcalibrationdate;calibrationinterval;calibrationcert;maintenanceneed;Maintentance instruction;swvalidationneed;Last Validation;validationreport;purchasedate;purchaseby;specification;notes;MOVE;CARE;FIDO;VIVA Point;VIVA Point GSM;Devcie Interface;Add-On;Part of Set-up;Software;Generic
10.01.200907;VE;02;0001;VE-02-0001;Unknown;Digital Multi Meter;Fluke;187;77950080;02. Measuring equipment, Electronics;Unknown;Unknown;Unknown;YES;2009-07-31;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
10.02.200907;VE;02;0002;VE-02-0002;Unknown;Digital Multi Meter;Fluke;187;79340115;02. Measuring equipment, Electronics;Unknown;Unknown;Unknown;YES;2009-03-31;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
10.03.200907;VE;02;0003;VE-02-0003;Unknown;Digital Multi Meter;Fluke;77III;76850534;02. Measuring equipment, Electronics;Unknown;Unknown;Unknown;YES;2009-03-31;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
10.04.-;VE;02;0004;VE-02-0004;Unknown;Digital Multi Meter;Circuitmate;LM22A;71130453;02. Measuring equipment, Electronics;Unknown;Unknown;Unknown;Unknown;NA;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
10.05.200908;VE;02;0005;VE-02-0005;Unknown;Digital Multi Meter;Fluke;189;93950122;02. Measuring equipment, Electronics;Unknown;Unknown;Unknown;YES;2009-08-31;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;2007/09;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
10.06.200908;VE;02;0006;VE-02-0006;Unknown;Digital Multi Meter;Fluke;179;94370271;02. Measuring equipment, Electronics;Unknown;Unknown;Unknown;YES;2009-08-31;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;2007/09;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
10.07.200908;VE;02;0007;VE-02-0007;Unknown;Digital Multi Meter;Fluke;179;95920329;02. Measuring equipment, Electronics;Unknown;Unknown;Unknown;YES;2009-08-31;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;2008/01;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
20.01.200907;VE;02;0008;VE-02-0008;Unknown;Oscilloscope, portable;;124 - NO DM8840203;944401124101;02. Measuring equipment, Electronics;Unknown;Unknown;Unknown;YES;2009-07-31;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
20.02.-;VE;02;0009;VE-02-0009;Unknown;Oscilloscope;LeCroy;LP142;01659;02. Measuring equipment, Electronics;Unknown;Unknown;Unknown;NO;NA;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
20.03.-;VE;02;0010;VE-02-0010;Unknown;Oscilloscope;Tektronix;TDS210;B091765;02. Measuring equipment, Electronics;Unknown;Unknown;Unknown;NO;NA;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
